A Arnoia		42 14 54.95 N	8 08 04.88 W
Kleinmarkthalle Frankfurt		50 06 45 N	8 41 01 E
Kloster Ettal	The monastery of Ettal is a Benedictine monastery in Bavaria/Germany near Oberammergau.	47 34 09.33 N	11 05 40.42 E
Kotohira Gu	Kotohira Gu in Kotohira, Kagawa prefecture, Japan.	34 11 02.2 N	133 48 34 E
Kreis Herford		52 06 57.54 N	8 39 40.42 E
Kreis Minden-Lübbecke	Der Kreis Minden-Lübbecke ist ein Landkreis im Osten des Landes Nordrhein-Westfalen mit Sitz in Minden.	52 16 53.48 N	8 54 41.71 E
Kreuzschlepper Am Weiher 1, Holzhausen		50 07 06.2 N	10 11 07.12 E
Kronprinzenpalais (Stuttgart)		48 46 41.56 N	9 10 39.88 E
Krumbach (Schwaben)	Krumbach (Schwaben) ist eine Stadt im Landkreis Günzburg, Regierungsbezirk Schwaben, Bayern.	48 14 35 N	10 21 48 E
Krummesse	Krummesse is a village in Schleswig-Holstein, Germany, which partly belongs to Kreis Herzogtum Lauenburg and partly to Lübeck.	53 46 45 N	10 38 30 E
Kuala Lumpur		3 08 08.5 N	101 41 16.8 E
Kunsthalle Bremen		53 04 22 N	8 48 49 E
Kuressaare		58 09 00 N	22 16 48 E
Kusterdingen		48 31 20.28 N	9 07 15.24 E
Lac Blanc (Orbey)	Dans le massif des Vosges, près d'Orbey.	48 07 31.32 N	7 05 34.95 E
Lac de Serre-Ponçon	Le Lac de Serre-Ponçon, vallé de l'Ubaye, Hautes-Alpes, France	44 30 33.26 N	6 22 10.8 E
Lalín	Lalín is a municipality in Galicia, Spain in the province of Pontevedra.	42 39 36.8 N	8 06 43.31 W
Langes Tannen	The domain Langes Tannen now belongs to the town of Uetersen.	53 41 32.67 N	9 40 28.6 E
Large Hadron Collider		46 16 17 N	6 03 48.5 E
Larouco	Larouco is a municipality in Galicia, in the province of Ourense.	42 20 48.74 N	7 09 37.22 W
Laza	Laza is a municipality in Galicia, in the province of Ourense.	42 03 36.69 N	7 27 37.14 W
Le Crozet (Loire)	Le Crozet est une commune française, située dans le département de la Loire et la région Rhône-Alpes.	46 10 11 N	3 51 25 E
Le Sauze-du-Lac	Le Sauze-du-Lac est un petit village de les Hautes-Alpes, prés du lac de Serre-Ponçon.	44 28 42.94 N	6 18 52.35 E
Leiro	Leiro is a municipality in Galicia, in the province of Ourense.	42 22 11.51 N	8 07 27.42 W
Levanto	Levanto is a village in Liguria in Italy.	44 10 15.82 N	9 36 41.68 E
Ligne Aubagne - Fuveau		43 23 41.38 N	5 33 59.44 E
Lima		12 05 36 S	77 02 48 W
Loro Parque	Puerto de la Cruz, Tenerife, Canarias, España	28 24 30.18 N	16 33 51.25 W
Lothian Buses: Central garage	Central garage in Annandale Street, Broughton, is one of Lothian Buses' depot sites.	55 57 40.43 N	3 11 16.73 W
Luise-Kiesselbach-Platz	The Luise-Kiesselbach-Platz is a square in the southwest of Munich.	48 06 44.17 N	11 31 03.27 E
Lunds domkyrka	Lunds domkyrka or Lund Cathedral is the cathedral of Lund in Skåne in southern Sweden.	55 42 14.59 N	13 11 36.91 E
LWL-Freilichtmuseum Detmold	The LWL-Freilichtmuseum Detmold (earlier name: Westfälisches Freilichtmuseum Detmold) is a museum for folklife studies in the town of Detmold, Germany.	51 55 25 N	8 52 12 E
Madone		45 39 00 N	9 32 53 E
Magasin-caverne du Salbert		47 39 20.34 N	6 49 22.79 E
Magazzini del Cotone di Genova	I Magazzini del Cotone sono una delle principali strutture del porto antico di Genova.	44 24 29.75 N	8 55 16.68 E
Mahabodhi Temple	The Mahabodhi Temple is a Buddhist temple in Bodh Gaya, the location where Siddhartha Gautama, the Buddha, attained enlightenment.	24 41 46 N	84 59 29 E
Maisons de la rue Jeanne-Mance		45 30 31.9 N	73 34 11.02 W
Manneken Pis van Brussel	Manneken Pis in Brussels	50 50 42 N	4 21 00 E
Manzaneda	Manzaneda is a municipality in Galicia, in the province of Ourense.	42 18 35.34 N	7 13 58.01 W
Mary's Tomb	'egg' (ornament hung on oil lamp chains) with winged seraphim. Armenian artwork	31 46 48.5 N	35 14 21.41 E
Marín		42 23 31.28 N	8 42 16.58 W
Maside	Maside is a municipality in Galicia, in the province of Ourense.	42 24 44.75 N	8 01 31.85 W
Matitone (Genova)	Il Matitone è un grattacielo di Genova dalla struttura a forma di lapis. È situato nella zona portuale di San Benigno, a breve distanza dalla torre della Lanterna.	44 24 40.59 N	8 54 25.07 E
Maximiliansbrücke in München		48 08 12.42 N	11 35 31.45 E
Meaño	Meaño is a municipality in Galicia, Spain in the province of Pontevedra.	42 26 31.95 N	8 46 46.02 W
Meis	Meis is a municipality in Galicia, Spain in the province of Pontevedra.	42 30 49.01 N	8 41 27.14 W
Melón	Melón is a municipality in Galicia, in the province of Ourense.	42 15 26.97 N	8 13 01.51 W
Mii-dera	Mii-dera 三井寺, formally Onjōji 園城寺, is a Tendai Buddhist temple in the city of Otsu, Shiga Prefecture, Japan.	35 00 48.09 N	135 51 10.26 E
Millennium Town Park	The Millennium Town Park is a public park in Saint Helier, Jersey.	49 11 15.01 N	2 06 06.95 W
Minden	Minden is a German city in North Rhine-Westphalia.	52 17 20.18 N	8 55 04.19 E
Mindener Dom	Cathedral in Minden, District of Minden-Lübbecke, North Rhine-Westphalia, Germany.	52 17 19.85 N	8 55 09.94 E
Mindener Kreisbahnen	Kreisbahnen Minden, ein Unternehmen aus dem 19. Jahrhundert, das in Abwandlungen noch heute besteht.	52 18 01.14 N	8 54 50.98 E
Miquel Marti i Pol.jpg	Monument al Llibre, Saltamartí	41 23 21.34 N	2 10 05.05 E
Mittagskogel	Mittagskogel is a peak in the Karawanken mountain chain in Carinthia / Austria / EU.	46 30 26.54 N	13 57 08.1 E
Moaña	Moaña is a municipality in Galicia, Spain in the province of Pontevedra.	42 17 05.52 N	8 44 57.56 W
Moe, Victoria	Moe, Victoria	38 10 20 S	146 16 04 E
Molino Stucky	Il Molino Stucky è uno storico edificio di Venezia. È un esempio di architettura industriale neogotica.	45 25 41.55 N	12 19 11.95 E
Mollet del Vallès	Mollet del Vallès is a village in the comarca of Vallès Oriental (Catalonia, Spain).	41 32 35.1 N	2 12 59.63 E
Monastery of San Paio de Diomondi		42 36 13.6 N	7 42 34.1 W
Monforte de Lemos		42 31 19.98 N	7 30 46.55 W
Monte Amiata	Il Monte Amiata è un monte situato nella Toscana.	42 54 00 N	11 38 00 E
Monte Musinè	el Monte Musinè es una cima de los Alpes Grayos, en Italia.	45 06 50 N	7 27 16 E
Monterrei	Monterrei is a municipality in Galicia, in the province of Ourense.	41 56 51.19 N	7 26 58.52 W
Montevideo		34 52 01 S	56 10 00 W
Montsec d'Ares	El Montsec d'Ares és el sector central de la Serra del Montsec, entre els congostos deTerradets a l'est i el de Mont-rebei a l'oest	42 02 27.96 N	0 47 33.68 E
Monument de Joseph Sec	Monument Joseph Sec, 8 avenue Pasteur, Aix-en-Provence, France.	43 31 59.44 N	5 26 46.71 E
Monument international de la Réformation		46 12 00.78 N	6 08 45.19 E
Mos	Mos is a municipality in Galicia, Spain in the province of Pontevedra.	42 11 39.08 N	8 39 11.18 W
Mosteiro de San Clodio de Leiro		42 22 02.61 N	8 06 54.12 W
Mosteiro de San Salvador de Celanova		42 09 06.55 N	7 57 24.85 W
Mosteiro de Santa María de Aciveiro		42 37 03 N	8 18 06 W
Mońki	Railway station	53 24 00 N	22 47 00 E
Mugardos	Mugardos is a municipality in the province A Coruña, Galicia, Spain.	43 27 43.7 N	8 15 12.52 W
Muros		42 46 28.69 N	9 03 23.75 W
Murray House		22 13 05.15 N	114 12 34.96 E
Murviel-lès-Béziers		43 26 29 N	3 08 42 E
Museo Civico d'Arte Antica di Torino	Il Museo Civico d'Arte Antica è un polo museale situato a Torino presso Palazzo Madama.	45 04 15.95 N	7 41 07.72 E
Museo della Storia del Genoa		44 24 37.8 N	8 56 11.39 E
Museo Regionale della Fauna Alpina - Alpenfaunamuseum "Beck-Peccoz"	Un museo sulla fauna alpina situato a Gressoney-Saint-Jean, in Valle d'Aosta, Italia.	45 46 35.57 N	7 49 36.84 E
Museum für Moderne Kunst	The Museum für Moderne Kunst (MMK) is an art museum in Frankfurt am Main.	50 06 42.56 N	8 41 03.86 E
Möja kyrka		59 24 18.8 N	18 52 53 E
Mössingen		48 24 23 N	9 03 27 E
Nagaoka Tenman-gū	日本語: 長岡天満宮, 京都府長岡京市。	34 55 22.2 N	135 41 10.8 E
Narón	Narón is a municipality in the province A Coruña, Galicia, Spain.	43 32 14.91 N	8 10 53.28 W
Neda	Neda is a municipality in the province A Coruña, Galicia, Spain.	43 29 58.67 N	8 09 21.51 W
Neues Rathaus München		48 08 16.07 N	11 34 33.35 E
Neues Schloss, Stuttgart	The south front parallels the Planie and the Alte Schloss.	48 46 41 N	9 10 55 E
New Mosque in Istanbul	New Mosque (Yeni Cami) in Istanbul	41 01 01.05 N	28 58 19.2 E
Niujie Mosque	The Niujie Mosque (Chinese: 牛街清真寺; pinyin: niújiē qīngzhēnsì) is the oldest mosque in Beijing, China. It was built in 996 and completely rebuilt under the Kangxi Emperor (1622-1722).	39 53 04 N	116 21 29 E
Nizza-Ufer	The Nizza bank is a park with mild microclimate at the Main river bank in Frankfurt am Main. The Park was constructed in 1860.	50 06 15.68 N	8 40 14.37 E
Noorderplantsoen	The Noorderplantsoen is a park in the Dutch city of Groningen.	53 13 25 N	6 33 20 E
Nullamunjie Olive Grove, Victoria	Nullamunjie olive groves are situated in the mountains of eastern Victoria, Australia on the slopes of Mount Stawell and near the banks of the Tambo River.	37 11 05 S	147 43 58 E
O Barco de Valdeorras		42 24 38.82 N	6 58 33.51 W
O Bolo	O Bolo is a municipality in Galicia, in the province of Ourense.	42 18 27.11 N	7 05 52.28 W
O Carballiño		42 25 53.18 N	8 04 38.48 W
O Grove		42 29 34.29 N	8 52 04.9 W
O Pereiro de Aguiar	O Pereiro de Aguiar is a municipality in Galicia, in the province of Ourense.	42 20 47.83 N	7 48 06.62 W
O Porriño	O Porriño is a municipality in Galicia, Spain in the province of Pontevedra.	42 09 41.84 N	8 37 15 W
O Rosal	O Rosal is a municipality in Galicia, Spain in the province of Pontevedra.	41 56 07.29 N	8 50 05.63 W
O Ézaro, Dumbría		42 54 38.2 N	9 07 54.11 W
Obermillstatt		46 48 36.91 N	13 35 29.41 E
Obervellach		46 55 55.76 N	13 12 06.68 E
Ocean Park, Hong Kong		22 14 45.1 N	114 10 33.3 E
Ohr Somayach Synagogue	Ohr Somayach Synagogue, the main synagogue in Odessa, Ukraine	46 28 40.55 N	30 44 22.13 E
Oia	Oia is a municipality in Galicia, Spain in the province of Pontevedra.	42 00 06.45 N	8 52 30.54 W
Oleiros	Oleiros is a municipality in the province A Coruña, Galicia, Spain.	43 19 57.16 N	8 18 54.38 W
Oleiros, Ribeira		42 36 11.29 N	9 00 20.52 W
Olgastraße (Stuttgart)		48 46 04.17 N	9 10 44.23 E
Orangerie (Neustrelitz)	Die Orangerie in Neustrelitz wurde bereits 1755 erbaut und erfuhr 1840 bis 1842 einen grundlegenden Umbau durch Friedrich Wilhelm Buttel.	53 21 40 N	13 03 27 E
Organización Médica Colegial de España	Spanish Medical Colleges Organization	40 24 57.24 N	3 41 49.49 W
Ortigueira	Ortigueira is a municipality in the province A Coruña, Galicia, Spain.	43 41 12.94 N	7 51 10.47 W
Os Blancos	Os Blancos is a municipality in Galicia, in the province of Ourense.	41 59 50.61 N	7 45 12.35 W
Ouaisné		49 10 45.75 N	2 11 10.77 W
Oza-Cesuras	Oza-Cesuras, municipality in the province of A Coruña, in Galicia (Spain).	43 16 44.24 N	8 12 55.95 W
Ozurgeti	Ozurgeti is a town and the regional administrative centre of Western Georgian province of Guria, former Macharadze or Makharadze (named in honor of Filipp Makaradze).	41 55 26.26 N	42 00 33.84 E
Oímbra		41 53 07.94 N	7 28 19.78 W
Palacete de Belomonte	Palacete de Belomonte / Palácio de Belomonte / Casa dos Pacheco Pereira. Em Portugal, Porto, Porto, São Nicolau.	41 08 33.18 N	8 36 58.35 W
Palais du parlement du Dauphiné		45 11 35.97 N	5 43 42.86 E
Palais Garnier	The Palais Garnier, also known as Opéra Garnier or Opéra national de Paris is an opera house situated at the northern end of the avenue de l'Opera, in Paris.	48 52 19 N	2 19 54 E
Palmenhaus, Vienna	Vienna's Palmenhaus ('palm house', a Jugendstil greenhouse built in 1901) is a building in Vienna's 1st district, beneath 'Burggarten' and Hofburg.	48 12 18 N	16 22 01 E
Palácio de Estói		37 05 47.79 N	7 53 44.05 W
Palácio Nacional da Pena		38 47 15.24 N	9 23 25.75 W
Palácio Nacional de Mafra	O Palácio Nacional de Mafra é um palácio e mosteiro monumental de estilo neoclássico localizado em Mafra (Portugal) a poucos mais de 50 quilómetros de Lisboa.	38 56 12 N	9 19 35 W
Pamukkale	Pamukkale is a natural site and attraction and a UNESCO World Heritage Site in south-western Turkey.	37 55 25 N	29 07 24 E
Parc du Thabor		48 06 51 N	1 40 12 W
Petuelpark		48 10 39.64 N	11 34 45.32 E
Petuelring	The Petuelring is a street in Munich, part of the Mittlerer Ring around the city centre.	48 10 40.25 N	11 34 19 E
Petueltunnel	The Petueltunnel is a tunnel that runs beneath the Petuelring between the Boroughs Milbertshofen-Am Hart and Schwabing-West in Munich.	48 10 39.9 N	11 34 37.48 E
Philadelphia City Hall	Philadelphia City Hall is the seat of government for the city of Philadelphia, Pennsylvania.	39 57 08.28 N	75 09 48.96 W
Piazza Corvetto (Genova)	Piazza Corvetto è una delle principali piazze di Genova	44 24 36.1 N	8 56 18.2 E
Piazza della Vittoria (Genoa)	Piazza della Vittoria è una delle principali piazze di Genova.	44 24 11.12 N	8 56 42.45 E
Piazza Navona	Piazza Navona is a square in Parione, the VI. Rione (district) from Rome / Italy / EU.	41 53 56.21 N	12 28 23.15 E
Piazza Venezia	Piazza Venezia is Located in Rome.	41 53 47 N	12 28 57 E
Pieve di San Giorgio di Valpolicella	The Pieve di San Giorgio di Valpolicella is a particularly large and elaborate Pieve (ancient church) of the city of Sant'Ambrogio di Valpolicella, Italy.	45 32 07 N	10 51 00 E
Piode	Piode è un comune della Valsesia, in provincia di Vercelli, Piemonte, Italia.	45 46 09.98 N	8 02 57.28 E
Piñor	Piñor is a municipality in Galicia, in the province of Ourense.	42 29 50.7 N	8 00 21.4 W
Place royale du Peyrou		43 36 40 N	3 52 15 E
Plaridel Airport		14 53 27.91 N	120 51 09.9 E
Plaça Catalunya	Plaça Catalunya (or Plaza de Cataluña in spanish) is a large square in central Barcelona.	41 23 13.21 N	2 10 12.09 E
Ponte de Rande		42 17 18.66 N	8 39 37.45 W
Ponte Sant'Angelo (Rome)	The Ponte Sant'Angelo is a Roman bridge across the Tiber in Rome, Italy.	41 54 06.46 N	12 27 59.24 E
Pontedeume		43 24 13.68 N	8 09 46.85 W
Pontevedra		42 25 50.84 N	8 38 56.28 W
Pordoi Pass	The Pordoi Pass is an Alpine pass in the Dolomites.	46 29 19.33 N	11 48 52.54 E
Port of Kobe	Port of Kobe in Kobe, Hyōgo Prefecture, Japan	34 40 39.17 N	135 13 36.97 E
Porta Pia		41 54 33 N	12 30 04 E
Porta san Sebastiano		41 52 25 N	12 30 07 E
Porta Soprana (Genova)	Porta Soprana a Genova.	44 24 19.76 N	8 56 05.6 E
Porta Westfalica		52 14 22.66 N	8 55 14.31 E
Porto antico di Genova		44 24 34.22 N	8 55 04.27 E
Porto Azzurro		42 46 05.02 N	10 23 48.33 E
Portor, Negreira		42 54 45.44 N	8 41 52.17 W
Potemkin Stairs		46 29 18.75 N	30 44 31.18 E
Praia de Cabanas		43 24 55.21 N	8 10 23.62 W
Prinzenbau Stuttgart		48 46 38.55 N	9 10 40.96 E
Puits Arthur-de-Buyer		47 40 37.23 N	6 36 51.29 E
Punta Manara	Manara Bivouac	44 15 19.08 N	9 24 20.88 E
Punxín	Punxín is a municipality in Galicia, in the province of Ourense.	42 22 06.15 N	8 00 03.17 W
Quartier de Beaugrenelle		48 51 03.87 N	2 17 07.61 E
Rairiz de Veiga		42 04 57.65 N	7 49 56.93 W
Ravensberger Bahn	Die Ravensberger Bahn ist eine Eisenbahnstrecke von Bielefeld nach Rahden.	52 13 36.48 N	8 31 20.75 E
Redondela	Redondela is a municipality in Galicia, Spain in the province of Pontevedra.	42 17 03 N	8 36 31.13 W
Regattastrecke Oberschleißheim	Die Regattastrecke Oberschleißheim ist ein künstlicher, rechteckiger Grundwassersee im Norden von München, angelegt für die Olympischen Sommerspiele 1972.	48 14 33.67 N	11 30 54.38 E
Reggia di Caserta	La Reggia di Caserta, Palazzo Reale, è stata la dimora della dinastia dei Borboni, sovrani del Regno delle due Sicilie. È situata a Caserta, in Campania (Italia).	41 04 26.27 N	14 19 36.92 E
Rianxo	Rianxo is a port town in Galicia, Spain, in the province of A Coruña.	42 38 38.62 N	8 48 44.67 W
Ribadavia		42 17 13.06 N	8 08 34.54 W
Ribadumia	Ribadumia is a municipality in Galicia, Spain in the province of Pontevedra.	42 30 50.38 N	8 45 25.68 W
Ribeira	Ribeira is a municipality in the province A Coruña, Galicia, Spain.	42 32 38.31 N	9 00 06.92 W
Ribeira, Ribeira		42 33 16.32 N	8 59 27.37 W
Ricetto di Candelo		45 32 46.68 N	8 06 48.96 E
Rio Marina	Rio Marina is a village in Isola d'Elba Toscana in Italy	42 48 44.2 N	10 25 39.87 E
Risiera di San Sabba	La Risiera di San Sabba è stato un campo di concentramento nazista, attivo negli ultimi anni della seconda guerra mondiale a Trieste, Italia.	45 37 26.09 N	13 47 22.1 E
Riós	Riós is a municipality in Galicia, in the province of Ourense.	41 58 29.53 N	7 16 55.68 W
Robben Island	Robben Island, Cape Town, South Africa	33 48 24.24 S	18 21 58.4 E
Rocca Grimalda	Rocca Grimalda è un comune dell'Alto Monferrato, in provincia di Alessandria, Piemonte, Italia.	44 40 17.48 N	8 38 55.12 E
Rodeiro	Rodeiro is a municipality in Galicia, Spain in the province of Pontevedra.	42 39 00.44 N	7 56 59.93 W
Roman Theatre of Catania		37 30 10.4 N	15 05 00.9 E
Roujan		43 30 32.5 N	3 17 15.15 E
Río Tambre		42 54 20.32 N	8 41 43.21 W
Sacrario Militare di Redipuglia		45 51 05.58 N	13 29 22.49 E
Sada	Sada is a municipality in the province A Coruña, Galicia, Spain.	43 21 01.43 N	8 15 16.23 W
Safranbolu	Safranbolu is a city and district of Karabük Province, Turkey. Safranbolu is one of the World Heritage sites in Turkey.	41 14 41 N	32 41 37 E
Sagrada Família		41 24 12.82 N	2 10 27.64 E
Saint-Michel de Nahuze	Prieuré du XIe siècle, situé sur la commune de Lagrasse (département de l'Aude), dont les ruines ont été inscrites comme monument historique	43 07 56.82 N	2 37 06.38 E
Saint-Nazaire-de-Ladarez		43 30 37 N	3 04 36 E
Salt Lake Temple	The Salt Lake Temple, the sixth temple built by the church overall, and the fourth operating temple, is the largest and best-known temple of The Church of Jesus Christ of Latter-day Saints.	40 46 14.45 N	111 53 31.18 W
San Amaro	San Amaro is a municipality in Galicia, in the province of Ourense.	42 22 20.07 N	8 04 23.64 W
San Clodio, Leiro		42 22 02.61 N	8 06 54.12 W
San Cristovo de Cea	San Cristovo de Cea is a municipality in Galicia, in the province of Ourense.	42 28 33.22 N	7 59 07.24 W
San Giorgio in Lemine	San Giorgio in Lemine is a church in the comune of Almenno San Salvatore, Bergamo, Lombardy, Italy	45 44 46 N	9 35 50 E
San Sadurniño	San Sadurniño is a municipality of Spain in the province of A Coruña, in the autonomous community of Galicia.	43 33 44.93 N	8 03 17.21 W
Sandiás	Sandiás is a municipality in Galicia, in the province of Ourense.	42 06 38.53 N	7 45 28.41 W
Sankt Martini		53 04 30 N	8 48 15 E
Sant'Anastasia	Sant'Anastasia è una chiesa di Roma.	41 53 17.6 N	12 29 03 E
Santiago de Chile	Santiago is the capital of Chile, it is also the country's industrial and commercial center.	33 27 00 S	70 40 00 W
Santiago de Compostela		42 52 50.24 N	8 32 39.96 W
Sanxenxo		42 24 19.2 N	8 48 23.66 W
Sarreaus		42 05 13.93 N	7 36 10.99 W
Sarria		42 46 38.13 N	7 24 54.31 W
Schallenberg		46 49 34 N	7 47 50 E
Schenkendorfstraße	The Schenkendorfstraße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 10 34.21 N	11 35 29.04 E
Schloss Eutin	The Castle of Eutin is located in Eutin in Schleswig-Holstein. It was built onto the foundations of a medieval castle.	54 08 15.75 N	10 37 13.22 E
Schloss Hüffe	Schloss Hüffe ist ein Ende des 13. Jahrhunderts errichtetes Wasserschloss in der Ortschaft Lashorst der Stadt Preußisch Oldendorf im Kreis Minden-Lübbecke.	52 20 05.99 N	8 30 55.72 E
Schloss Kalkum	Schloss Kalkum is a water castle in Kalkum in the north of Düsseldorf, about two kilometers northeast of Kaiserwerth.	51 18 14.9 N	6 45 26.7 E
Schloss Nymphenburg	Nymphenburg Palace is a château in Munich. Its construction was started during the 17th century by the Prince-elector Ferdinand Maria of Bavaria.	48 09 29 N	11 30 13 E
Schloss Petershagen	Das Schloss Petershagen in Petershagen ist ein Wasserschloss im Stil der Weserrenaissance.	52 22 46.16 N	8 58 18.62 E
Schloss Rosenstein		48 48 15 N 9 11 30 E
Schlosskirche (Neustrelitz)	Die Neustrelitzer Schlosskirche wurde durch Friedrich Wilhelm Buttel erbaut und ist dessen Hauptwerk in der Stadt.	53 21 35 N	13 03 32 E
Schlossplatz Stuttgart		48 46 42.81 N	9 10 47.45 E
Sestri Levante	Sestri Levante is a town in Liguria in Italy.	44 16 17.76 N	9 23 33 E
Shokeda	Shokeda is a religious settlement in Israel, in north-west part of Negev, south to Sderot and east to the Gaza Strip.	31 25 19.56 N	34 31 28.2 E
Sigüeiro, A Barciela, Oroso		42 58 06.42 N	8 26 33.38 W
Silleda		42 41 49.46 N	8 14 50.28 W
Singapore	Singapore is a city state at the southern tip of peninsular Malaysia. It is an island approximately 40 by 20 km in size inhabited by more than five million people.	1 18 00 N	103 48 00 E
Singapore Zoo		1 24 15.9 N	103 47 28.1 E
Sistiana	Sistiana is a town near Trieste.	45 46 09.98 N	13 38 01.98 E
Sistine Chapel	The Sistine Chapel is located in the Vatican and is decorated with frescoes by Michelangelo.	41 54 11 N	12 27 16 E
Sohland am Rotstein	Sohland am Rotstein is a municipality in Saxony, Germany.	51 07 00 N	14 47 00 E
Sopron	Sopron (pronounced "shop-ron"; German: Ödenburg) is a city in Hungary near the Austrian border. It is located a short train ride from Vienna.	47 41 12 N	16 34 49 E
Spenge	Spenge is a northrhine-westphalian town in the administrative district Kreis Herford.	52 08 33.29 N	8 28 59.9 E
Spišský hrad	The ruins of Spiš Castle are situated above the town of Spišské Podhradie and the village of Žehra in the Spiš region in eastern Slovakia.	48 59 58.5 N	20 46 03.3 E
St. Jürgenskirche (Lilienthal)	The church of St. Jürgen is in the same named district of Lilienthal in the county of Osterholz in Lower Saxony, Germany.	53 10 36 N	8 48 29 E
St. Maria in der Kupfergasse	St. Maria in der Kupfergasse is a baroque church in Cologne.	50 56 23.2 N	6 57 01.04 E
Stadtplatz (Steyr)		48 02 20.42 N	14 25 08.89 E
Stalis		35 17 47.4 N	25 25 25.9 E
Steigfriedhof	The Steigfriedhof is a cemetery in the Stadtbezirk Bad Cannstatt in Stuttgart.	48 48 41.9 N	9 12 28.95 E
Stift Göttweig	Göttweig Abbey is a Benedictine monastery in Lower Austria.	48 22 00.2 N	15 36 45.5 E
Städtisches Lapidarium Stuttgart		48 46 03.36 N	9 10 04.58 E
Sultanahmet Camii	The Sultan Ahmed Mosque (in Turkish Sultanahmet Camii, in English commonly called the Blue Mosque) is a mosque in Istanbul. It is regarded as one of the greatest masterpieces of Islamic architecture.	41 00 19.3 N	28 58 36.6 E
Synchrotron Soleil		48 42 33 N	2 08 41 E
Süleymaniye camii	The Mosque of Suleiman I in Istanbul.	41 00 58.3 N	28 57 50 E
Tarancón	Tarancón village and municipality in the province of Cuenca, part of the autonomous community of Castile-La Mancha, Spain.	40 00 45.89 N	3 00 14.85 W
Teixido, Cedeira		43 42 36.72 N	7 59 00.44 W
Villa romana de Tejada	The ancient roman villa of La Tejeda is an archaeological site from II to V centuries in Quintanilla de la Cueza, Cervatos de la Cueza (Palencia, Spain).	40 58 36 N	4 48 25 W
Temple Neuf (Strasbourg)		48 35 00 N	7 44 54 E
Templer Cemetery, Jerusalem	Jerusalem, German Colony, Emek Refaim street 39	31 45 47.46 N	35 13 08.68 E
Texas State Capitol	The Texas State Capitol, located in Downtown Austin, Texas, is the fourth building to serve as the seat of Texas government.	30 16 29 N	97 44 26 W
The Dormition Cathedral in Odessa		46 28 31.07 N	30 43 55.42 E
The Spice Bazaar, Istanbul		41 01 00.7 N	28 58 15.13 E
Tiberias		32 47 20.04 N	35 31 20.28 E
Tomiño	Tomiño is a municipality in Galicia, Spain in the province of Pontevedra.	41 59 31.78 N	8 44 32.53 W
Toosa	Toosa is a village in Punjab.	30 44 45.31 N	75 41 14.53 E
Topkapı Sarayı	İznik tiles: camp of the Mount Arafat	41 00 45.7 N	28 59 03.25 E
Torre de San Sadurniño		42 30 25 N	8 49 16 W
Torre de Vilanova dos Infantes		42 09 58.36 N	7 57 16.62 W
Torres de Altamira		42 52 39.02 N	8 41 15.17 W
Torres do Oeste		42 40 35.81 N	8 43 32.45 W
Torreón dos Andrade		43 24 27.98 N	8 10 17.88 W
Transfiguration Cathedral in Odessa		46 28 59.44 N	30 43 51.75 E
Trappentreustraße	The Trappentreustraße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 08 12.34 N	11 32 03.84 E
Trappentreutunnel	The Trappentreutunnel is a tunnel that runs beneath the Trappentreustraße in the borough Schwanthalerhöhe in Munich.	48 08 08.78 N	11 32 03.17 E
Trastevere	Restaurant in Via della Lungaretta	41 53 22.54 N	12 28 12.76 E
Travemünde	Travemünde is a part of Lübeck in Germany at the Baltic Sea.	53 58 00 N	10 52 00 E
Treuners Altstadtmodell	The Treuner brothers' Altstadtmodell is a scale model which shows the oldtown of Frankfurt am Main prior to the air-raid damages in 1943 and 1944. The ruin model shows the destroyed old town of Frankfurt in spring 1945.	50 06 35 N	8 40 57 E
Triumphal arch Barcelona		41 23 27 N	2 10 50 E
Twierdza Osowiec	Dry moat around the fort No 3	53 27 44 N	22 37 38 E
Třebechovice pod Orebem	Třebechovice pod Orebem is a town in Czech Republic in Hradec Králové Region	50 12 07 N	15 59 38 E
Uetersen		53 41 14 N	9 40 09 E
Universidad de Alcalá		40 28 58.53 N	3 21 47.27 W
Université Lille Nord de France		50 36 33.38 N	3 08 29.72 E
Upper Darby, Pennsylvania		39 57 40.2 N	75 15 32.06 W
Urgnano		45 35 50 N	9 41 42 E
Valdoviño	Valdoviño is a municipality in the province A Coruña, Galicia, Spain.	43 36 32.23 N	8 08 30.84 W
Valjala church	Valjala church is the oldest stone church in Estonia. The construction begun in 1227.	58 24 30.32 N	22 47 13.92 E
Valparaíso		33 02 45.4 S	71 36 58.9 W
Varallo	Varallo is a town in Valsesia, Piedmont, Italy, named also Varallo Sesia.	45 49 10.95 N	8 15 19.01 E
Varigotti	Varigotti è una frazione del comune di Finale Ligure, in provincia di Savona (riviera ligure di ponente, Liguria, Italia).	44 10 53.83 N	8 23 45.56 E
Verducido, Pontevedra		42 28 35.96 N	8 37 06.66 W
Verín	Verín is a municipality in Galicia, in the province of Ourense.	41 56 22.46 N	7 26 19.59 W
Via dell'Amore (Cinque Terre)	La Via dell'Amore è una passeggiata turistica di circa un chilometro che, costeggiando il mare, congiunge le località di Riomaggiore e Manarola, nelle Cinque Terre, in Liguria (Italia).	44 06 06.07 N	9 44 00.37 E
Via Dolorosa signs		31 46 46.48 N	35 13 56.63 E
